Brann, Bergen
Fredrikstad, Fredrikstad
Haugesund, Haugesund
Hønefoss, Hønefoss
Lillestrøm, Lillestrøm
Molde, Molde
Odd Grenland, Skien
Rosenborg, Trondheim
Sandnes Ulf, Sandnes
Sogndal, Sogndal
Stabæk, Bærum
Strømsgodset, Drammen
Tromsø, Tromsø
Viking, Stavanger
Vålerenga, Oslo
Aalesund, Ålesund
